priority,offset_s,latency_ms,status,outcome
medium,0.0508,230.61,200,ok
medium,0.1169,164.50,200,ok
medium,0.0170,265.25,200,ok
medium,0.1837,102.02,200,ok
medium,0.2170,75.46,200,ok
medium,0.2509,45.63,200,ok
medium,0.0837,218.29,200,ok
medium,0.1510,153.77,200,ok
medium,0.2844,24.75,200,ok
medium,0.3182,25.42,200,ok
medium,0.3513,58.49,200,ok
medium,0.4177,65.53,200,ok
medium,0.3837,118.84,200,ok
medium,0.4845,22.56,200,ok
medium,0.5174,29.21,200,ok
medium,0.4507,115.08,200,ok
medium,0.5845,101.17,200,ok
medium,0.6170,184.39,200,ok
medium,0.5513,338.00,200,ok
medium,0.7182,222.55,200,ok
medium,0.7528,308.17,200,ok
medium,0.8836,218.90,200,ok
medium,0.8511,290.41,200,ok
medium,0.7835,374.20,200,ok
medium,1.0179,163.19,200,ok
medium,0.6835,604.01,200,ok
medium,0.9839,306.51,200,ok
medium,1.1528,146.07,200,ok
medium,1.0837,234.55,200,ok
medium,1.1175,244.53,200,ok
medium,0.8172,560.53,200,ok
medium,1.0536,344.17,200,ok
medium,0.6509,755.98,200,ok
medium,1.1838,256.29,200,ok
medium,0.9520,503.95,200,ok
medium,0.9170,564.31,200,ok
medium,1.2843,238.50,200,ok
medium,1.2511,307.88,200,ok
medium,1.4518,277.62,200,ok
medium,1.2170,572.95,200,ok
medium,1.3178,587.07,200,ok
medium,1.3511,699.15,200,ok
medium,1.4175,725.44,200,ok
medium,1.5240,819.83,200,ok
medium,1.6183,737.83,200,ok
medium,1.3836,1002.30,200,ok
medium,1.7179,826.85,200,ok
medium,1.5853,1024.83,200,ok
medium,1.6835,946.40,200,ok
medium,2.1838,484.98,200,ok
medium,1.7519,928.84,200,ok
medium,1.4678,1242.42,200,ok
medium,0.5011,2211.13,200,ok
medium,0.0670,2648.61,200,ok
medium,0.6669,2050.31,200,ok
medium,1.7019,1018.58,200,ok
medium,0.7673,1954.57,200,ok
medium,1.5571,1184.64,200,ok
medium,1.5670,1195.88,200,ok
medium,1.4846,1279.37,200,ok
medium,2.1169,678.76,200,ok
medium,2.2171,585.71,200,ok
high,2.1006,722.64,429,shed
medium,2.3851,441.53,200,ok
medium,0.4008,2439.13,200,ok
medium,1.4019,1439.26,200,ok
medium,0.0020,2855.96,200,ok
medium,0.2008,2657.31,200,ok
medium,0.4670,2391.34,200,ok
medium,1.5348,1326.96,200,ok
medium,1.8170,1054.99,200,ok
medium,2.3521,529.44,200,ok
medium,1.7840,1113.85,200,ok
medium,2.1520,767.31,200,ok
medium,0.2344,2684.94,200,ok
medium,2.5174,410.20,200,ok
medium,2.5518,380.20,200,ok
medium,0.1677,2765.03,200,ok
medium,0.8338,2098.98,200,ok
medium,1.9172,1021.38,200,ok
medium,1.9517,1067.31,200,ok
medium,2.6518,402.45,429,shed
medium,1.6511,1418.71,200,ok
medium,1.9853,1143.65,200,ok
medium,2.1014,1038.92,200,ok
medium,0.6336,2509.09,200,ok
medium,1.2012,1956.31,200,ok
medium,1.6783,1480.92,200,ok
medium,0.9335,2225.81,200,ok
medium,1.1344,2024.90,200,ok
medium,1.9030,1256.32,200,ok
medium,0.5669,2607.90,200,ok
medium,0.0342,3140.98,200,ok
medium,1.1676,2007.87,200,ok
medium,0.3671,2808.70,200,ok
medium,1.0532,2122.86,200,ok
medium,0.9673,2208.97,200,ok
medium,1.3017,1874.81,200,ok
medium,1.3670,1809.78,200,ok
medium,0.3007,2876.35,200,ok
medium,0.4345,2742.84,200,ok
medium,0.7020,2475.63,200,ok
medium,0.1010,3076.82,200,ok
medium,0.3341,2844.00,200,ok
medium,0.8018,2376.58,200,ok
medium,1.5041,1674.53,200,ok
medium,2.2840,908.06,200,ok
high,0.8014,2391.64,200,ok
high,0.4503,2742.80,200,ok
medium,2.4173,775.74,200,ok
medium,2.0345,1163.00,200,ok
medium,2.3672,865.71,200,ok
medium,1.6008,1632.13,200,ok
medium,1.9674,1265.63,200,ok
medium,1.7342,1498.76,200,ok
low,2.8405,392.53,429,shed
high,2.2506,982.48,200,ok
high,1.1007,2132.33,200,ok
high,1.0541,2179.00,200,ok
medium,1.2340,1999.08,200,ok
medium,1.4340,1799.10,200,ok
medium,1.3341,1898.99,200,ok
medium,0.8669,2366.16,200,ok
medium,0.2672,2965.90,200,ok
medium,2.7173,518.11,200,ok
medium,1.2677,1967.71,200,ok
medium,0.7335,2501.88,200,ok
medium,0.9048,2330.62,200,ok
medium,2.3173,918.18,200,ok
low,2.7809,469.25,429,shed
medium,1.0674,2182.72,200,ok
medium,3.0515,198.70,429,shed
medium,1.6357,1614.49,200,ok
medium,3.1179,132.33,429,shed
medium,1.9340,1316.29,200,ok
medium,1.1013,2148.96,200,ok
high,2.2009,1049.39,200,ok
medium,1.0012,2249.13,200,ok
high,0.7523,2498.05,200,ok
medium,0.6016,2648.76,200,ok
high,0.4004,2849.99,200,ok
medium,0.1341,3116.27,200,ok
medium,2.2027,1047.75,200,ok
medium,2.4515,798.92,200,ok
high,1.5034,1747.01,200,ok
high,0.3004,2950.05,200,ok
high,2.3008,949.70,200,ok
high,0.9043,2346.21,200,ok
medium,0.5344,2716.15,200,ok
high,1.5563,1694.26,200,ok
medium,1.8018,1448.77,200,ok
high,0.5508,2699.72,200,ok
high,1.1523,2098.31,200,ok
medium,1.8335,1417.07,200,ok
high,0.0505,3200.89,200,ok
high,0.2505,3000.87,200,ok
medium,2.1337,1117.64,200,ok
medium,2.2514,1010.78,200,ok
medium,2.4844,777.86,200,ok
high,0.1507,3111.62,200,ok
high,1.9509,1311.39,200,ok
high,1.2005,2061.77,200,ok
high,1.8521,1410.28,200,ok
high,0.5007,2761.62,200,ok
high,0.7015,2560.88,200,ok
high,0.3509,2911.52,200,ok
high,0.2005,3061.94,200,ok
high,0.0001,3266.88,200,ok
high,0.6504,2616.58,200,ok
high,1.7510,1515.98,200,ok
high,1.6002,1666.82,200,ok
high,1.2505,2016.59,200,ok
high,1.9022,1364.86,200,ok
high,0.6011,2665.93,200,ok
high,1.7012,1565.85,200,ok
high,1.3011,1965.96,200,ok
high,2.0008,1266.29,200,ok
medium,1.8677,1424.21,429,shed
medium,3.0335,262.76,429,shed
low,2.8605,435.77,429,shed
high,0.8505,2460.66,200,ok
high,1.0006,2310.61,200,ok
high,1.8010,1510.20,200,ok
high,0.1007,3210.57,200,ok
high,1.3505,1960.73,200,ok
high,1.4513,2272.91,200,ok
high,0.9515,2776.20,200,ok
high,2.1512,1576.49,200,ok
high,1.4013,2327.06,200,ok
high,1.6504,2077.93,200,ok
medium,2.7842,944.11,200,ok
medium,2.4670,1271.77,200,ok
medium,2.0679,1717.13,200,ok
high,2.5509,1515.19,200,ok
high,3.7509,322.36,429,shed
low,2.7913,2102.61,500,error
medium,2.9176,2526.75,500,error
medium,2.5339,3151.10,200,ok
high,4.0509,1637.23,429,shed
high,2.0503,3785.14,200,ok
high,3.3505,2485.67,429,shed
medium,2.8335,3269.19,500,error
high,5.8509,251.85,429,shed
medium,2.1672,4551.12,200,ok
medium,2.3342,4384.12,200,ok
high,4.5505,2167.80,429,shed
high,4.6012,2117.13,429,shed
high,4.6524,2065.96,429,shed
high,4.7010,2017.43,429,shed
high,4.7512,1967.19,429,shed
high,4.8009,1917.57,429,shed
high,4.8509,1867.55,429,shed
high,4.9006,1875.35,429,shed
high,4.9509,1826.09,429,shed
medium,6.8336,1.73,,error
high,5.0509,1791.97,429,shed
high,5.0006,1843.21,429,shed
low,6.9043,10.65,,error
low,6.9056,9.72,,error
low,6.9067,8.92,,error
low,6.9090,6.88,,error
medium,6.9102,6.03,,error
medium,6.9110,5.49,,error
medium,6.9116,5.34,,error
high,6.9123,4.99,,error
low,6.9133,4.29,,error
low,6.9027,15.28,,error
medium,6.8956,22.83,,error
low,6.8974,21.40,,error
medium,6.9188,4.18,,error
low,6.9230,2.40,,error
high,5.1813,1744.59,429,shed
high,5.1009,1825.52,429,shed
low,6.9403,12.25,,error
medium,6.9538,4.57,,error
high,6.9526,6.19,,error
low,6.9545,4.85,,error
low,6.9632,2.29,,error
medium,6.9676,1.92,,error
low,6.9706,1.98,,error
low,6.9808,2.59,,error
medium,6.9845,1.68,,error
low,6.9903,55.77,,error
high,5.2008,1855.64,429,shed
high,5.2511,1805.39,429,shed
high,5.3011,1804.55,429,shed
high,5.3509,1754.78,429,shed
low,7.0533,62.50,,error
low,7.0541,61.99,,error
low,7.0547,63.88,,error
low,7.0553,64.23,,error
low,7.0558,64.32,,error
high,7.0568,66.24,,error
medium,7.0574,65.97,,error
low,7.0580,65.71,,error
low,7.0609,63.12,,error
medium,7.0670,57.25,,error
low,7.0711,53.50,,error
low,7.0807,44.10,,error
medium,7.0839,41.25,,error
low,7.0905,34.92,,error
high,7.1007,24.95,,error
medium,7.1027,23.28,,error
low,7.1036,22.71,,error
low,7.1109,15.71,,error
medium,7.1169,9.99,,error
low,7.1202,6.97,,error
low,7.1303,2.98,,error
medium,7.1344,1.68,,error
low,7.1402,2.51,,error
high,7.1509,5.10,,error
medium,7.1528,3.59,,error
low,7.1535,3.11,,error
low,7.1608,2.86,,error
medium,7.1678,2.21,,error
low,7.1712,2.44,,error
low,7.1807,2.21,,error
medium,7.1841,1.50,,error
low,7.1907,2.24,,error
high,7.2012,4.49,,error
medium,7.2031,2.92,,error
low,7.2040,2.30,,error
low,7.2104,2.28,,error
medium,7.2179,2.99,,error
low,7.2209,1.63,,error
low,7.2307,2.43,,error
medium,7.2343,1.52,,error
low,7.2410,2.74,,error
high,7.2509,4.12,,error
medium,7.2527,2.67,,error
low,7.2535,2.17,,error
low,7.2608,2.38,,error
medium,7.2673,2.34,,error
low,7.2708,1.60,,error
low,7.2806,2.58,,error
medium,7.2843,1.84,,error
low,7.2902,3.62,,error
high,5.4508,1850.77,429,shed
high,5.4009,1966.08,429,shed
low,7.3623,10.57,,error
low,7.3629,10.19,,error
low,7.3636,9.86,,error
low,7.3641,9.55,,error
low,7.3647,9.26,,error
low,7.3653,8.98,,error
medium,7.3670,7.54,,error
medium,7.3677,7.08,,error
medium,7.3684,6.74,,error
medium,7.3689,6.46,,error
high,7.3695,6.16,,error
low,7.3703,5.67,,error
high,7.3016,74.61,,error
low,7.3810,2.67,,error
medium,7.3840,1.84,,error
low,7.3911,2.07,,error
high,7.4011,4.60,,error
medium,7.4030,7.01,,error
low,7.4038,6.57,,error
low,7.4104,2.44,,error
medium,7.4170,3.22,,error
low,7.4203,1.50,,error
low,7.4320,3.76,,error
medium,7.4343,1.94,,error
low,7.4404,2.73,,error
medium,7.4522,3.32,,error
high,7.4503,5.52,,error
low,7.4534,2.75,,error
low,7.4603,2.38,,error
medium,7.4678,2.54,,error
low,7.4704,1.69,,error
high,5.5009,1974.70,429,shed
high,5.5509,1924.79,429,shed
low,7.4908,4.01,,error
high,7.5010,4.25,,error
medium,7.5028,4.94,,error
low,7.5036,4.52,,error
low,7.5102,2.17,,error
medium,7.5175,2.18,,error
low,7.5208,1.64,,error
low,7.5307,2.73,,error
medium,7.5335,2.05,,error
low,7.5407,3.07,,error
high,7.5510,5.41,,error
medium,7.5533,3.42,,error
low,7.5546,2.46,,error
low,7.5612,2.23,,error
medium,7.5676,2.86,,error
low,7.5705,1.70,,error
low,7.5804,3.95,,error
medium,7.5844,2.22,,error
low,7.5909,8.16,,error
medium,7.6020,3.21,,error
low,7.6032,2.33,,error
high,7.6002,5.61,,error
low,7.6110,2.87,,error
medium,7.6171,2.88,,error
low,7.6211,2.61,,error
low,7.6309,2.90,,error
medium,7.6338,2.49,,error
low,7.6405,3.20,,error
high,7.6509,5.79,,error
medium,7.6530,4.12,,error
low,7.6543,3.13,,error
low,7.6606,3.23,,error
medium,7.6670,3.44,,error
low,7.6705,2.28,,error
low,7.6812,8.73,,error
medium,7.6837,6.74,,error
low,7.6905,2.67,,error
high,7.7004,63.50,,error
low,7.7160,48.24,,error
medium,7.7024,71.27,,error
low,7.7318,42.25,,error
low,7.7603,14.06,,error
medium,7.7619,12.70,,error
medium,7.7654,11.88,,error
low,7.7664,11.21,,error
low,7.7673,10.61,,error
low,7.7680,10.24,,error
high,7.7719,6.60,,error
medium,7.7747,4.12,,error
low,7.7756,3.48,,error
medium,7.7643,15.05,,error
low,7.7805,1.99,,error
medium,7.7836,1.87,,error
low,7.7584,29.00,,error
low,7.7905,3.08,,error
high,7.8008,8.18,,error
medium,7.8029,6.45,,error
low,7.8058,3.91,,error
low,7.8109,2.06,,error
medium,7.8171,14.84,,error
low,7.8340,3.57,,error
medium,7.8354,2.50,,error
low,7.8320,6.26,,error
low,7.8412,2.22,,error
high,7.8506,15.00,,error
medium,7.8539,12.16,,error
low,7.8561,10.30,,error
low,7.8604,6.31,,error
medium,7.8673,3.15,,error
low,7.8705,2.05,,error
low,7.8807,3.63,,error
medium,7.8844,2.11,,error
low,7.8907,2.87,,error
medium,7.9027,3.92,,error
low,7.9044,3.11,,error
high,7.9008,7.89,,error
low,7.9108,1.70,,error
low,7.9224,2.84,,error
medium,7.9179,7.63,,error
low,7.9307,3.08,,error
medium,7.9338,2.64,,error
low,7.9406,4.18,,error
high,2.4506,5499.99,200,ok
high,3.7010,4254.33,429,shed
low,7.9534,3.69,,error
low,7.9607,3.02,,error
medium,7.9669,2.81,,error
low,7.9708,2.81,,error
low,7.9808,3.81,,error
medium,7.9846,2.24,,error
low,7.9910,3.80,,error
medium,2.9344,5066.34,500,error
low,8.0029,1.43,,error
medium,8.0023,2.50,,error
medium,3.8023,4203.48,429,shed
high,6.6006,1406.69,429,shed
high,6.1030,1904.28,429,shed
high,4.2011,3806.19,429,shed
low,3.1709,4846.00,500,error
low,8.0405,2.57,,error
low,3.1208,4934.94,500,error
medium,8.0523,3.94,,error
low,8.0535,3.24,,error
high,8.0503,6.85,,error
low,2.7309,5327.06,200,ok
low,8.0707,1.57,,error
low,8.0811,4.39,,error
medium,8.0837,2.29,,error
low,8.0912,3.60,,error
medium,8.1029,3.42,,error
low,8.1037,2.89,,error
high,8.1010,5.95,,error
low,8.1112,3.08,,error
medium,8.1174,15.48,,error
low,8.1350,3.63,,error
medium,8.1364,3.00,,error
low,8.1329,7.61,,error
low,8.1406,1.83,,error
medium,8.1526,2.93,,error
low,8.1535,2.32,,error
high,8.1507,5.50,,error
low,8.1603,2.26,,error
medium,8.1677,4.10,,error
low,8.1703,2.93,,error
low,8.1808,2.78,,error
medium,8.1836,1.97,,error
low,8.1908,3.92,,error
high,8.2010,5.73,,error
medium,8.2029,4.16,,error
low,8.2037,3.65,,error
low,8.2105,2.35,,error
medium,8.2171,2.64,,error
low,8.2208,2.78,,error
medium,8.2339,4.87,,error
low,8.2308,8.40,,error
high,5.6003,2640.39,429,shed
high,5.6506,2590.09,429,shed
medium,8.2532,5.00,,error
high,8.2512,7.35,,error
low,8.2611,5.77,,error
medium,8.2669,2.07,,error
low,8.2711,5.71,,error
low,8.2810,2.97,,error
medium,8.2840,2.61,,error
low,8.2908,3.88,,error
high,8.3014,6.30,,error
medium,8.3032,4.80,,error
low,8.3044,3.86,,error
low,8.3104,2.24,,error
medium,8.3189,4.68,,error
low,8.3206,3.25,,error
low,8.3313,3.37,,error
medium,8.3335,2.02,,error
low,8.3406,6.17,,error
medium,8.3526,2.66,,error
high,8.3510,4.60,,error
low,8.3535,2.40,,error
low,8.3611,3.62,,error
medium,8.3678,2.36,,error
low,8.3702,2.33,,error
low,8.3808,3.47,,error
medium,8.3843,2.14,,error
low,8.3906,2.98,,error
high,8.4008,4.48,,error
medium,8.4027,2.88,,error
low,8.4037,2.15,,error
low,8.4111,2.89,,error
medium,8.4171,3.57,,error
low,8.4207,1.94,,error
low,8.4309,3.44,,error
medium,8.4344,2.16,,error
low,8.4407,3.04,,error
medium,8.4528,2.99,,error
low,8.4538,2.30,,error
high,8.4509,5.46,,error
low,8.4606,3.20,,error
medium,8.4669,2.86,,error
low,8.4709,2.51,,error
low,8.4806,3.03,,error
medium,8.4836,2.88,,error
low,8.4907,2.33,,error
medium,8.5031,2.83,,error
low,8.5039,2.33,,error
high,8.5012,5.31,,error
low,8.5107,2.92,,error
medium,8.5178,3.01,,error
low,8.5208,2.39,,error
low,8.5304,3.28,,error
medium,8.5337,1.89,,error
low,8.5408,4.00,,error
medium,8.5530,4.11,,error
low,8.5538,3.58,,error
high,8.5510,6.68,,error
low,8.5609,2.63,,error
medium,8.5677,2.89,,error
low,8.5706,1.60,,error
low,8.5805,2.89,,error
medium,8.5845,2.11,,error
low,8.5908,14.50,,error
medium,8.6066,2.68,,error
high,8.6053,5.46,,error
low,8.6077,3.43,,error
low,8.6111,3.97,,error
medium,8.6172,3.31,,error
low,8.6206,2.94,,error
low,8.6307,3.83,,error
medium,8.6346,2.08,,error
low,8.6408,2.95,,error
medium,8.6532,2.46,,error
low,8.6539,2.04,,error
high,8.6510,5.33,,error
low,8.6604,2.53,,error
medium,8.6671,2.43,,error
low,8.6706,3.88,,error
low,8.6807,3.62,,error
medium,8.6843,2.72,,error
low,8.6912,2.73,,error
medium,8.7030,3.06,,error
low,8.7038,2.65,,error
high,8.7011,5.61,,error
low,8.7109,2.70,,error
medium,8.7177,3.38,,error
low,8.7211,3.58,,error
low,8.7309,2.71,,error
medium,8.7336,3.00,,error
low,8.7408,2.93,,error
medium,8.7540,4.75,,error
low,8.7566,2.43,,error
high,8.7514,7.94,,error
low,8.7605,2.08,,error
medium,8.7678,3.56,,error
low,8.7714,2.15,,error
low,8.7808,3.52,,error
medium,8.7843,3.44,,error
low,8.7909,3.95,,error
medium,8.8033,4.30,,error
low,8.8047,3.22,,error
high,8.8011,7.04,,error
low,8.8106,3.13,,error
medium,8.8170,4.46,,error
high,5.7008,3133.85,429,shed
high,5.7512,3084.55,429,shed
medium,8.8389,7.09,,error
low,8.8433,3.38,,error
medium,8.8529,4.05,,error
low,8.8538,3.51,,error
high,8.8510,6.65,,error
low,8.8612,4.72,,error
medium,8.8671,2.30,,error
low,8.8705,2.05,,error
low,8.8808,3.81,,error
medium,8.8846,2.65,,error
low,8.8904,2.27,,error
medium,8.9030,7.20,,error
low,8.9066,3.99,,error
high,8.9009,10.01,,error
low,8.9110,1.82,,error
medium,8.9170,3.30,,error
low,8.9203,2.28,,error
low,8.9308,3.26,,error
medium,8.9341,1.65,,error
low,8.9410,2.63,,error
medium,8.9528,54.96,,error
low,8.9537,54.33,,error
high,8.9508,59.62,,error
high,5.8101,3200.47,429,shed
high,5.9503,3060.27,429,shed
low,9.0039,10.28,,error
low,9.0045,9.95,,error
low,9.0051,9.66,,error
medium,9.0057,9.38,,error
medium,9.0062,9.10,,error
medium,9.0068,8.83,,error
high,9.0109,4.99,,error
low,9.0120,4.16,,error
medium,9.0168,1.75,,error
low,9.0207,2.01,,error
low,9.0309,2.95,,error
medium,9.0339,1.82,,error
low,9.0409,2.78,,error
high,9.0509,6.31,,error
medium,9.0528,4.69,,error
low,9.0538,4.06,,error
high,6.0513,3006.51,429,shed
high,6.0012,3056.68,429,shed
low,9.0704,4.26,,error
low,9.0808,3.75,,error
medium,9.0846,2.27,,error
low,9.0911,3.65,,error
high,6.2509,2855.54,429,shed
high,6.3012,2805.23,429,shed
high,9.1009,6.88,,error
low,9.1104,3.03,,error
medium,9.1176,3.08,,error
low,9.1207,1.81,,error
low,9.1307,2.92,,error
medium,9.1336,1.87,,error
low,9.1406,3.01,,error
medium,9.1527,2.80,,error
low,9.1540,1.76,,error
high,9.1508,5.27,,error
low,9.1602,2.32,,error
medium,9.1677,2.95,,error
low,9.1707,2.88,,error
low,9.1807,2.87,,error
medium,9.1836,1.87,,error
low,9.1906,3.02,,error
high,9.2008,4.30,,error
medium,9.2027,2.73,,error
low,9.2036,2.11,,error
low,9.2109,2.72,,error
medium,9.2178,3.95,,error
low,9.2218,3.57,,error
low,9.2306,3.08,,error
medium,9.2337,5.33,,error
low,9.2412,2.41,,error
high,9.2508,5.34,,error
medium,9.2527,3.74,,error
low,9.2537,3.03,,error
low,9.2609,2.71,,error
medium,9.2678,2.86,,error
low,9.2706,1.55,,error
low,9.2804,3.93,,error
medium,9.2843,2.16,,error
low,9.2907,3.13,,error
medium,9.3031,3.43,,error
low,9.3046,2.22,,error
high,9.3010,6.15,,error
low,3.1107,6204.28,500,error
low,3.1807,6137.08,500,error
low,2.9211,6398.92,500,error
medium,3.0017,6318.88,500,error
low,3.1312,6191.98,500,error
high,6.3509,2972.23,429,shed
medium,9.3528,3.88,,error
low,9.3535,3.47,,error
high,9.3509,6.39,,error
low,9.3604,3.12,,error
medium,9.3677,3.15,,error
low,9.3709,2.54,,error
low,9.3806,3.90,,error
medium,9.3845,2.86,,error
low,9.3905,3.08,,error
high,9.4008,4.74,,error
medium,9.4026,3.20,,error
low,9.4033,2.76,,error
low,9.4102,3.41,,error
medium,9.4178,3.44,,error
low,9.4212,3.32,,error
low,9.4308,5.87,,error
medium,9.4377,8.97,,error
low,9.4434,3.56,,error
medium,9.4527,3.87,,error
low,9.4534,3.49,,error
high,9.4511,6.07,,error
low,9.4603,3.23,,error
medium,9.4677,3.14,,error
low,9.4709,4.38,,error
low,9.4804,4.01,,error
medium,4.1050,5381.94,429,shed
low,9.4910,2.81,,error
medium,9.5031,4.66,,error
low,9.5045,3.65,,error
high,9.5010,7.50,,error
low,9.5107,3.06,,error
medium,9.5171,3.82,,error
low,9.5209,2.99,,error
low,9.5311,3.86,,error
medium,9.5350,5.79,,error
low,9.5409,2.99,,error
high,9.5510,5.81,,error
medium,9.5531,4.11,,error
low,9.5544,3.09,,error
low,9.5606,2.09,,error
medium,9.5679,3.22,,error
low,9.5712,4.68,,error
low,9.5810,3.28,,error
medium,9.5844,2.59,,error
low,9.5921,3.42,,error
high,9.6007,4.42,,error
medium,9.6026,2.82,,error
low,9.6034,2.34,,error
low,9.6109,2.94,,error
medium,9.6173,2.42,,error
low,9.6209,3.56,,error
low,9.6306,4.14,,error
medium,9.6348,1.92,,error
low,9.6409,7.25,,error
high,9.6542,6.65,,error
medium,9.6566,4.61,,error
low,9.6580,3.52,,error
low,9.6616,1.98,,error
low,9.6722,3.69,,error
medium,9.6690,7.83,,error
low,9.6814,8.72,,error
medium,9.6836,7.25,,error
low,9.6909,2.70,,error
high,9.7013,9.31,,error
medium,9.7035,9.17,,error
low,9.7107,2.71,,error
low,9.7061,7.59,,error
medium,9.7179,3.02,,error
low,9.7209,4.33,,error
low,9.7308,2.86,,error
medium,9.7338,2.57,,error
low,9.7406,2.51,,error
high,9.7513,6.73,,error
medium,9.7533,5.09,,error
low,9.7547,4.05,,error
low,9.7609,2.03,,error
medium,9.7671,2.94,,error
low,9.7712,2.37,,error
medium,4.6043,5179.94,429,shed
low,3.1517,6635.93,500,error
low,3.2018,6585.85,500,error
low,2.5704,7219.08,500,error
low,9.8044,2.30,,error
high,9.8009,6.14,,error
low,9.8106,2.69,,error
medium,9.8175,2.92,,error
low,9.8205,88.50,,error
low,9.9109,14.94,,error
low,9.9123,13.89,,error
low,9.9135,13.02,,error
low,9.9145,12.26,,error
low,9.9155,11.57,,error
low,9.9164,10.96,,error
low,9.9172,10.43,,error
medium,9.9182,9.76,,error
medium,9.9189,9.32,,error
medium,9.9196,8.92,,error
medium,9.9202,8.55,,error
medium,9.9209,8.21,,error
high,9.9215,7.97,,error
high,9.9221,7.68,,error
low,9.9091,21.29,,error
low,9.9236,7.09,,error
low,9.9243,6.67,,error
medium,9.9249,6.34,,error
low,9.9313,2.28,,error
medium,4.6241,5311.09,429,shed
medium,4.6680,5267.14,429,shed
medium,4.6843,5250.94,429,shed
medium,4.7023,5232.90,429,shed
low,9.9547,2.75,,error
low,9.9611,2.22,,error
medium,9.9674,2.33,,error
low,9.9709,1.78,,error
low,9.9809,2.89,,error
medium,9.9838,1.65,,error
low,9.9906,2.45,,error
medium,10.0022,2.61,,error
low,10.0030,2.06,,error
high,10.0003,5.11,,error
medium,4.7526,5256.48,429,shed
medium,4.7335,5275.56,429,shed
medium,4.7670,5245.29,429,shed
medium,4.7171,5296.07,429,shed
medium,10.0336,2.54,,error
low,10.0403,3.38,,error
high,10.0509,7.76,,error
medium,10.0530,5.96,,error
low,10.0545,4.86,,error
low,10.0604,3.27,,error
medium,10.0678,3.05,,error
low,10.0709,3.83,,error
low,10.0809,9.94,,error
medium,10.0871,4.14,,error
low,10.0912,2.62,,error
medium,10.1034,3.81,,error
low,10.1045,3.03,,error
high,10.1012,6.57,,error
low,10.1109,6.20,,error
medium,10.1172,5.48,,error
low,10.1203,3.17,,error
low,10.1313,4.73,,error
medium,10.1360,19.45,,error
low,10.1413,14.94,,error
high,10.1563,86.76,,error
medium,10.1593,84.19,,error
low,10.1608,83.04,,error
low,10.1705,73.95,,error
low,10.1768,67.93,,error
medium,10.2389,14.23,,error
medium,10.2399,13.60,,error
medium,10.2408,13.00,,error
medium,10.2414,12.69,,error
medium,10.2420,12.43,,error
low,10.2447,10.04,,error
low,10.2456,9.43,,error
low,10.2464,8.97,,error
low,10.2470,8.64,,error
low,10.2476,8.34,,error
low,10.2482,8.17,,error
low,10.2490,7.63,,error
high,10.2515,5.39,,error
high,10.2569,3.14,,error
medium,10.2581,2.32,,error
low,10.2588,1.83,,error
low,10.2607,1.43,,error
medium,10.2673,2.50,,error
low,10.2710,1.94,,error
low,10.2811,2.66,,error
medium,10.2839,1.56,,error
low,10.2906,2.62,,error
high,10.3005,9.97,,error
medium,10.3024,8.39,,error
low,10.3062,4.88,,error
low,10.3111,1.52,,error
medium,10.3185,3.30,,error
low,10.3206,1.59,,error
low,10.3304,2.54,,error
medium,10.3340,1.59,,error
low,10.3407,2.75,,error
high,10.3507,4.44,,error
medium,10.3527,2.82,,error
low,10.3535,2.30,,error
low,10.3610,2.60,,error
medium,10.3683,3.93,,error
low,10.3705,2.09,,error
low,10.3808,2.58,,error
medium,10.3845,1.74,,error
low,10.3904,2.49,,error
high,10.4011,4.30,,error
medium,10.4030,2.71,,error
low,10.4041,1.86,,error
low,10.4112,2.62,,error
medium,10.4170,2.42,,error
low,10.4206,1.86,,error
low,10.4306,2.61,,error
medium,10.4344,1.79,,error
low,10.4403,2.75,,error
high,10.4503,4.16,,error
medium,10.4522,2.55,,error
low,10.4531,1.95,,error
low,10.4612,3.63,,error
medium,10.4670,2.98,,error
low,10.4711,2.43,,error
low,10.4808,2.83,,error
medium,10.4836,1.98,,error
low,10.4908,2.82,,error
high,10.5009,4.17,,error
medium,10.5028,2.57,,error
low,10.5037,1.91,,error
low,10.5108,4.33,,error
medium,10.5173,2.50,,error
low,10.5209,2.86,,error
low,10.5310,5.25,,error
medium,10.5336,3.01,,error
low,10.5408,3.22,,error
high,10.5519,5.57,,error
medium,10.5540,3.81,,error
low,10.5554,2.65,,error
low,10.5602,2.64,,error
medium,10.5670,2.81,,error
low,10.5709,2.68,,error
low,10.5808,3.20,,error
medium,10.5840,6.88,,error
low,10.5910,2.46,,error
high,10.6006,10.61,,error
medium,10.6027,9.02,,error
low,10.6041,8.03,,error
low,10.6122,2.47,,error
medium,10.6178,3.41,,error
low,10.6212,3.37,,error
low,10.6307,3.53,,error
medium,10.6343,1.53,,error
low,10.6410,3.69,,error
medium,10.6528,3.95,,error
low,10.6536,3.47,,error
high,10.6509,6.48,,error
low,10.6606,4.17,,error
medium,10.6679,2.76,,error
low,10.6706,2.92,,error
low,10.6807,2.65,,error
medium,10.6834,2.16,,error
low,10.6908,2.95,,error
medium,10.7029,2.60,,error
low,10.7037,2.08,,error
high,10.7010,5.14,,error
low,10.7103,3.16,,error
medium,10.7176,3.13,,error
low,10.7208,2.76,,error
low,10.7308,4.12,,error
medium,10.7349,2.64,,error
low,10.7407,2.92,,error
high,10.7512,8.45,,error
medium,10.7534,6.61,,error
low,10.7572,3.19,,error
