priority,offset_s,latency_ms,status,outcome
low,2.6909,25547.09,200,ok
low,3.0518,25186.23,200,ok
low,3.2663,24971.76,200,ok
low,3.3306,24907.51,200,ok
low,2.9605,25277.63,200,ok
low,3.3226,24915.51,200,ok
low,2.6102,25627.94,200,ok
low,3.2934,24944.75,200,ok
low,2.6808,25557.36,200,ok
low,2.6409,25597.30,200,ok
low,3.3036,24934.57,200,ok
medium,18.8689,9369.32,200,ok
low,3.3521,24886.14,200,ok
low,3.5412,24697.07,200,ok
medium,19.2848,8953.50,200,ok
medium,18.9360,9302.30,200,ok
low,2.6311,25607.26,200,ok
low,2.7206,25517.78,200,ok
low,2.9314,25307.00,200,ok
low,2.7519,25486.46,200,ok
low,3.8528,24385.56,200,ok
medium,19.9020,8336.46,429,shed
medium,19.2729,8965.56,200,ok
high,21.1506,7087.81,429,shed
high,18.2015,10036.99,200,ok
high,20.4009,7837.63,429,shed
high,18.5515,9686.97,200,ok
low,27.9605,280.02,,error
medium,27.9675,273.36,,error
low,27.9731,268.04,,error
low,3.8323,24410.01,200,ok
low,4.1106,24131.80,200,ok
low,4.0804,24170.86,200,ok
low,4.0104,24240.87,200,ok
high,28.2354,27.15,,error
high,28.2360,27.13,,error
high,28.2366,26.84,,error
high,28.2372,26.56,,error
high,28.2432,20.88,,error
medium,28.2443,20.11,,error
medium,28.2452,19.46,,error
medium,28.2460,18.97,,error
low,28.2466,18.68,,error
low,28.2472,18.37,,error
low,28.2478,18.07,,error
low,28.2484,17.74,,error
low,28.2504,15.99,,error
high,28.2528,13.86,,error
medium,28.2535,13.41,,error
low,28.2542,13.07,,error
low,28.2216,45.88,,error
low,28.2222,45.58,,error
low,28.2694,5.78,,error
medium,28.2717,6.77,,error
low,28.2739,5.63,,error
high,20.2508,8029.37,429,shed
medium,28.2836,2.03,,error
low,28.2912,6.79,,error
high,28.3013,4.16,,error
medium,28.3030,2.76,,error
low,28.3038,2.27,,error
low,28.3102,2.87,,error
medium,19.0026,9320.09,200,ok
low,28.3201,4.72,,error
low,28.3304,3.22,,error
medium,28.3336,1.64,,error
low,28.3404,2.44,,error
high,28.3511,4.37,,error
medium,28.3532,2.59,,error
low,28.3540,2.09,,error
medium,19.6181,8738.75,200,ok
low,6.7138,21643.15,200,ok
low,28.3720,2.69,,error
medium,19.2666,9114.25,200,ok
medium,28.3841,1.97,,error
low,28.3903,3.05,,error
high,20.5514,7842.40,429,shed
low,28.4039,1.60,,error
high,28.4010,4.75,,error
low,28.4103,3.34,,error
low,3.9403,24596.25,200,ok
high,19.4511,9085.44,200,ok
medium,20.4335,8103.10,429,shed
medium,28.4177,120.13,,error
high,21.3512,7190.55,429,shed
low,28.5245,18.15,,error
low,28.5253,17.69,,error
low,28.5258,17.40,,error
low,28.5264,17.08,,error
low,28.5270,16.78,,error
low,28.5276,16.46,,error
medium,28.5312,13.17,,error
medium,28.5321,12.56,,error
medium,28.5328,12.20,,error
medium,28.5334,11.89,,error
medium,28.5341,11.48,,error
medium,28.5347,11.16,,error
high,28.5353,10.86,,error
high,28.5359,10.57,,error
low,28.5213,25.40,,error
low,28.5399,9.45,,error
medium,28.5408,8.77,,error
medium,20.3529,8197.40,429,shed
low,28.5468,4.09,,error
medium,28.5521,2.43,,error
low,28.5528,2.19,,error
low,28.5613,3.02,,error
medium,19.3669,9204.65,429,shed
medium,28.5682,5.15,,error
medium,18.4342,10141.49,200,ok
medium,28.5843,1.57,,error
low,28.5902,5.70,,error
low,3.7025,24896.53,200,ok
low,3.5308,25069.11,200,ok
high,21.4018,7203.38,429,shed
high,19.6004,9004.78,200,ok
medium,21.1676,7441.73,429,shed
medium,21.1519,7458.07,429,shed
low,28.6309,2.71,,error
medium,28.6337,1.56,,error
low,3.7303,24907.14,200,ok
low,4.0030,24634.45,200,ok
low,3.7522,24902.29,200,ok
medium,20.6844,7971.27,429,shed
low,28.6606,2.68,,error
medium,21.2020,7462.96,429,shed
low,3.9029,24766.54,200,ok
low,3.9808,24691.98,200,ok
medium,19.5835,9091.50,429,shed
medium,19.4018,9283.91,429,shed
medium,28.7028,2.56,,error
low,28.7037,2.00,,error
high,28.7007,5.24,,error
medium,21.0351,7671.38,429,shed
low,3.4603,25258.01,200,ok
medium,21.0835,7634.85,429,shed
low,3.8027,24915.70,200,ok
high,18.7007,10019.75,200,ok
medium,21.0547,7688.32,429,shed
medium,19.7344,9011.12,429,shed
low,5.8307,22914.81,200,ok
medium,19.6342,9111.33,429,shed
high,18.9508,9794.75,200,ok
low,4.1063,24648.65,200,ok
medium,19.0672,9697.82,200,ok
medium,21.1853,7593.74,429,shed
high,21.0012,7777.86,429,shed
low,4.1907,24589.04,200,ok
low,3.4410,25339.19,200,ok
medium,21.2842,7497.53,429,shed
low,3.5030,25278.69,200,ok
low,4.1603,24627.64,200,ok
low,4.2532,24536.40,200,ok
low,4.1710,24618.56,200,ok
low,4.2808,24508.79,200,ok
medium,21.2342,7559.00,429,shed
low,5.8908,22917.51,200,ok
medium,21.3183,7490.00,429,shed
medium,20.0344,8775.14,429,shed
high,19.3116,9503.18,200,ok
medium,19.8027,9016.96,200,ok
low,5.8407,22998.70,200,ok
low,6.5323,22307.15,200,ok
low,8.0202,20819.17,200,ok
low,6.4536,22385.84,200,ok
low,6.3416,22497.86,200,ok
low,7.3610,21478.42,200,ok
low,6.7154,22124.09,200,ok
high,19.3523,9491.02,200,ok
medium,19.2438,9599.50,200,ok
low,6.7143,22129.03,200,ok
low,6.1491,22694.28,200,ok
low,8.0611,20782.27,200,ok
low,6.4031,22440.31,200,ok
low,6.1809,22662.50,200,ok
low,8.0104,20838.03,200,ok
medium,21.5525,7296.00,429,shed
low,14.7532,14095.31,200,ok
low,12.9884,15873.81,200,ok
low,13.2305,15631.76,200,ok
low,6.4706,22391.78,200,ok
low,14.7210,14141.43,200,ok
medium,21.4519,7411.38,429,shed
low,14.3109,14553.94,200,ok
medium,19.1354,9729.41,200,ok
low,13.3302,15534.64,200,ok
high,19.1006,9764.27,200,ok
low,14.9407,13926.26,200,ok
medium,21.6177,7275.63,429,shed
medium,20.3668,8532.08,429,shed
medium,21.6337,7282.23,429,shed
low,21.1529,7791.00,429,shed
medium,20.5524,8404.11,429,shed
medium,20.5027,8460.74,429,shed
low,6.7610,22219.15,200,ok
low,4.4409,24545.46,200,ok
low,6.5535,22432.90,200,ok
low,9.0030,20006.93,200,ok
low,13.5733,15436.63,200,ok
medium,21.2177,7793.61,429,shed
medium,21.2527,7758.57,429,shed
medium,20.2525,8761.16,200,ok
medium,20.2003,8813.30,200,ok
low,4.8527,24172.29,200,ok
low,15.5808,13454.86,200,ok
low,13.5912,15456.42,200,ok
low,6.5922,22456.38,200,ok
low,6.7165,22332.89,200,ok
low,13.2211,15828.32,200,ok
low,15.0224,14034.22,200,ok
low,9.7818,19281.94,200,ok
low,13.0528,16011.46,200,ok
low,13.6824,15382.54,200,ok
low,15.5703,13494.68,200,ok
low,17.9167,11152.36,200,ok
low,17.9405,11129.16,200,ok
low,15.8706,13202.44,200,ok
low,13.2028,15872.57,200,ok
low,8.8315,20243.83,200,ok
low,13.0602,16015.12,200,ok
high,21.7015,7373.84,429,shed
low,15.8409,13234.49,200,ok
medium,21.5051,7570.34,429,shed
low,13.1922,15888.86,200,ok
low,8.8360,20245.12,200,ok
low,10.0111,19070.07,200,ok
low,15.4409,13648.27,200,ok
medium,21.3018,7804.76,429,shed
medium,19.0340,10073.57,200,ok
medium,21.4844,7623.10,429,shed
medium,21.7033,7407.22,429,shed
medium,21.6837,7427.20,429,shed
low,17.7635,11354.59,200,ok
medium,20.9843,8133.77,200,ok
medium,21.7341,7383.99,429,shed
medium,20.9527,8165.37,200,ok
medium,21.7550,7363.26,429,shed
medium,21.7668,7358.48,429,shed
low,21.4524,7672.94,429,shed
low,21.4909,7648.80,429,shed
medium,20.4525,8687.32,200,ok
high,19.0508,10100.48,200,ok
medium,21.5676,7589.77,429,shed
medium,21.5175,7645.66,429,shed
medium,21.8031,7371.32,429,shed
low,18.0707,11113.09,200,ok
low,20.2020,8995.36,429,shed
medium,21.8178,7420.73,429,shed
low,3.3613,25897.02,200,ok
medium,21.6676,7592.67,429,shed
low,20.8605,8495.04,429,shed
medium,29.3678,2.85,,error
low,29.3707,1.78,,error
low,21.0209,8365.27,429,shed
medium,29.3838,19.38,,error
low,29.3903,13.23,,error
medium,29.4050,3.56,,error
low,29.4057,3.13,,error
high,29.4037,5.51,,error
low,29.4103,3.25,,error
medium,29.4177,3.18,,error
